module,lesson,lesson_file_package,lesson_file_course,package,pkg_version
Working Groups Learning,lecture_facilitating_working_group,lecture_facilitating_working_group.qmd,s01_lecture_facilitating_working_group.qmd,lhLessons,2024.11.07
Working Groups Learning,lecture_data_mgmt_reproducibility,lecture_data_mgmt_reproducibility.qmd,s02_lecture_data_mgmt_reproducibility.qmd,lhLessons,2024.11.07
Working Groups Learning,github_introduction,github_introduction.qmd,s03_github_introduction.qmd,lhLessons,2024.11.07
Working Groups Learning,github_collaboration,github_collaboration.qmd,s04_github_collaboration.qmd,lhLessons,2024.11.07
Working Groups Learning,github_project_management,github_project_management.qmd,s05_github_project_management.qmd,lhLessons,2024.11.07
Working Groups Learning,lecture_one_pagers,lecture_one_pagers.qmd,s06_lecture_one_pagers.qmd,lhLessons,2024.11.07
Working Groups Learning,lecture_communication_plan,lecture_communication_plan.qmd,s07_lecture_communication_plan.qmd,lhLessons,2024.11.07
Working Groups Learning,lecture_communication_results,lecture_communication_results.qmd,s08_lecture_communication_results.qmd,lhLessons,2024.11.07
Working Groups Learning,r_git_install_guide,r_git_install_guide.qmd,s09_r_git_install_guide.qmd,lhLessons,2024.11.07
